name,mbid,url,image_small,image
Munhoz & Mariano,344bb01f-f369-46a4-8785-135f6931ce14,https://www.last.fm/music/Munhoz+&+Mariano,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Pedro Mariano,5186d327-70e7-4f96-bb83-d6c730982636,https://www.last.fm/music/Pedro+Mariano,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Belle Mariano,,https://www.last.fm/music/Belle+Mariano,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Mariano Barba,1a6070a5-df8d-42bb-8374-5e9603a0d974,https://www.last.fm/music/Mariano+Barba,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Mariano Mores,a8fee9d4-7d93-4dc5-ba71-575c2054ee27,https://www.last.fm/music/Mariano+Mores,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Luis Mariano,0680f2d8-2c3d-43e6-92c6-5f2666362720,https://www.last.fm/music/Luis+Mariano,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Torcuato Mariano,21b5fb7f-c820-4c82-b4d8-ceddeeb4f0c1,https://www.last.fm/music/Torcuato+Mariano,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Prietto viaja al cosmos con Mariano,9e50d65e-fd53-441d-8cd0-dac9be51bca7,https://www.last.fm/music/Prietto+viaja+al+cosmos+con+Mariano,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Cesar Camargo Mariano,,https://www.last.fm/music/Cesar+Camargo+Mariano,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Mariano Di Gabriele,,https://www.last.fm/music/Mariano+Di+Gabriele,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
