name,mbid,url,image_small,image
Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,https://www.last.fm/music/Taylor+Swift,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
James Taylor,c5a69f1d-f4fc-42b1-9e99-5b3cd35406fa,https://www.last.fm/music/James+Taylor,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Teyana Taylor,c7eb03c1-f8cb-4815-afc8-46df3b253129,https://www.last.fm/music/Teyana+Taylor,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Taylor Dayne,c0cd3de7-4654-482b-913b-6fd7dc4ce9a4,https://www.last.fm/music/Taylor+Dayne,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Corey Taylor,15e02679-7a5f-4dd2-850c-5aa6e49d0878,https://www.last.fm/music/Corey+Taylor,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Taylor Davis,55156283-88b4-41ed-a671-441434e3b1fe,https://www.last.fm/music/Taylor+Davis,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Maria Taylor,0717fc0d-6898-47a0-9abb-e697a1c64c3a,https://www.last.fm/music/Maria+Taylor,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Taylor McFerrin,7abc2c7b-f47f-4d94-b75f-8cb4ca926899,https://www.last.fm/music/Taylor+McFerrin,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Natalie Taylor,6873cd0d-2c7b-4d2f-b6fc-9becbcb7dda4,https://www.last.fm/music/Natalie+Taylor,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Taylor Deupree,dab5cf68-b079-4f84-bb1a-888600cbf4db,https://www.last.fm/music/Taylor+Deupree,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Aaron Taylor,,https://www.last.fm/music/Aaron+Taylor,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Ebo Taylor,8b034085-b06d-4c42-9be3-d709be169d79,https://www.last.fm/music/Ebo+Taylor,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Taylor Acorn,,https://www.last.fm/music/Taylor+Acorn,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Taylor Louderman,,https://www.last.fm/music/Taylor+Louderman,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Hudson Taylor,d53ec070-36da-4a1a-a32a-410dd72e3b6e,https://www.last.fm/music/Hudson+Taylor,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Otis Taylor,f90c3011-d714-4beb-a181-1dc2b7d33239,https://www.last.fm/music/Otis+Taylor,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Ian Taylor,3a4a3fba-ca7a-4d02-8eeb-26980239af62,https://www.last.fm/music/Ian+Taylor,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Taylor Bennett,,https://www.last.fm/music/Taylor+Bennett,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Koko Taylor,9ebffe22-c6e0-49bc-a6c2-f79a97bc38b3,https://www.last.fm/music/Koko+Taylor,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Taylor Hawkins & The Coattail Riders,397cd952-ae9c-40cb-a504-fd0ef47ec120,https://www.last.fm/music/Taylor+Hawkins+&+The+Coattail+Riders,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
