name,mbid,url,image_small,image
Various Artists,f70d1c4b-b91b-44ae-aea3-512275bf0df3,https://www.last.fm/music/Various+Artists,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Nature Sounds Artists,,https://www.last.fm/music/Nature+Sounds+Artists,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Varios Artistas,,https://www.last.fm/music/Varios+Artistas,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Rest & Relax Nature Sounds Artists,,https://www.last.fm/music/Rest+&+Relax+Nature+Sounds+Artists,,
Artists For Haiti,5cb35548-f9a7-465a-bdfd-f484af1be5c8,https://www.last.fm/music/Artists+For+Haiti,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Artists Stand Up To Cancer,7b7ff1b1-4eb1-41fc-9468-39759fcc909b,https://www.last.fm/music/Artists+Stand+Up+To+Cancer,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Artists group,,https://www.last.fm/music/Artists+group,,
"Artists Of Then, Now & Forever",,"https://www.last.fm/music/Artists+Of+Then,+Now+&+Forever",https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Anonymous Artists,be4f2b96-9cac-43a8-8d8e-e9f81cce9c63,https://www.last.fm/music/Anonymous+Artists,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Starving Artists Crew,77bb6947-2925-44cd-b2f4-f0529f215880,https://www.last.fm/music/Starving+Artists+Crew,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Blue Note Artists,,https://www.last.fm/music/Blue+Note+Artists,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Artists for Grenfell,,https://www.last.fm/music/Artists+for+Grenfell,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Young Artists For Haiti,7eb0969b-3750-4f2b-8a2d-6773832ac41e,https://www.last.fm/music/Young+Artists+For+Haiti,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Anonymous Artists (어나니머스 아티스트),,https://www.last.fm/music/Anonymous+Artists+(%EC%96%B4%EB%82%98%EB%8B%88%EB%A8%B8%EC%8A%A4+%EC%95%84%ED%8B%B0%EC%8A%A4%ED%8A%B8),,
Backside Artists,f5fde9b6-db02-4276-9b31-a6d7943897b3,https://www.last.fm/music/Backside+Artists,,
